317,-9451,457,909,160000,1
399,-6475,582,817,170000,1
479,-2023,525,976,6620000,1
606,-5985,210,870,14700,1
1640,-7924,692,799,38800000,1
291,-6253,525,623,24700000,1
694,-7402,445,655,41800000,1
298,-3875,456,754,19500000,1
833,-5854,456,857,157000,1
772,-4353,456,961,28800,1
368,-8413,892,470,75000000,1
288,-5625,558,876,2440000,1
407,-9760,502,758,915000,1
277,-8900,595,714,378000,1
946,-6855,180,915,2240000,1
298,-9447,740,696,52400000,1
1110,-2497,464,919,315000,1
514,-7340,651,801,12300000,1
735,-6136,525,922,16700,1
288,-7193,571,719,274000,1
1030,-7574,373,755,411000,1
317,-5659,395,824,5160000,1
2620,-6401,702,594,15700,1
829,-9788,833,450,8870000,1
612,-5024,459,931,126000,1
617,-4404,342,888,116000,1
452,-9799,600,593,72600000,1
363,-5969,567,914,1060000,1
1100,-14296,801,346,95700000,1
259,-6706,604,594,75700000,1
301,-7481,542,531,330000,1
334,-7118,644,831,13800000,1
316,-10494,415,355,98500000,1
1200,-4563,525,578,1320000,1
898,-7240,417,630,2090000,1
492,-8199,398,864,52300000,1
694,-2919,167,953,4720000,1
513,-8192,772,692,742000,1
384,-3501,575,904,141000,1
594,-3938,472,826,61700,1
347,-14722,653,337,87800000,1
471,-11342,749,547,14700000,1
651,-6147,469,902,617000,1
1200,-4563,525,578,1320000,1
438,-10792,557,320,73900000,1
346,-5466,705,814,115000,1
379,-17167,162,112,95400000,1
2280,-3369,603,946,33500,1
322,-3972,648,564,21600000,1
414,-7196,306,540,62500000,1
368,-9118,815,605,3300000,1
413,-7057,511,698,9580000,1
495,-5628,744,928,40900,1
325,-12437,523,760,10300000,1
415,-4570,472,925,30500,1
512,-4913,575,936,12800,1
323,-7479,584,590,53300000,1
317,-6261,724,603,18300000,1
1570,-3382,406,961,17700,1
561,-9361,533,739,299000,1
471,-8871,455,841,1350000,1
335,-7813,237,658,13600000,1
672,-6345,224,889,1160000,1
910,-6865,529,743,378000,1
615,-5765,536,845,330000,1
3780,-6509,447,544,46600000,1
460,-13283,716,330,19300000,1
777,-3752,252,872,912000,1
823,-10323,605,555,35700000,1
601,-11548,899,763,26200000,1
346,-6667,462,840,5050,1
369,-12814,150,211,79200000,1
423,-9172,447,568,47300000,1
362,-7113,375,661,2290,1
365,-19740,252,147,91100000,1
