753,-14523,659,166,87700000,2
582,-13458,701,205,95900000,2
1320,-7832,498,824,6410000,2
348,-7313,584,370,86100000,2
366,-22241,467,122,95400000,2
636,-9780,482,333,70500000,2
306,-8307,339,690,388000,2
388,-11864,659,163,76600000,2
920,-7219,474,683,52800000,2
578,-13043,947,419,77800000,2
384,-7198,742,696,29400000,2
411,-11395,638,237,93100000,2
399,-5919,472,813,12000000,2
583,-9372,511,431,68600000,2
1410,-4110,699,688,75500000,2
308,-9110,316,484,33400,2
513,-4033,418,866,381000,2
273,-6802,619,405,39100000,2
263,-9562,487,248,71600000,2
336,-7805,574,691,1420000,2
1580,-6376,483,487,69000000,2
1450,-7951,443,727,26300000,2
600,-13015,687,322,96200000,2
594,-10854,328,893,35300000,2
295,-7179,532,473,64700000,2
646,-11238,650,424,87000000,2
814,-11750,697,407,82900000,2
267,-7337,686,757,70700000,2
294,-10552,341,253,86800000,2
572,-12099,599,42.4,99600000,2
322,-7000,340,491,42800000,2
884,-8296,644,530,78700000,2
485,-9970,533,704,16400000,2
250,-7472,808,532,54300000,2
473,-12138,570,241,94800000,2
1320,-5996,486,873,6940000,2
823,-10005,644,716,5970000,2
320,-9302,420,373,92200000,2
559,-6294,636,918,53100000,2
380,-14095,614,136,91300000,2
242,-4268,744,832,24000000,2
410,-5526,534,649,4380000,2
485,-14207,441,455,62000000,2
344,-9509,695,864,9350000,2
494,-4981,530,814,5410000,2
375,-4474,521,887,2280000,2
381,-6549,681,741,52400000,2
354,-7358,632,575,10500000,2
743,-7132,756,875,35000000,2
339,-9764,678,612,10100000,2
459,-6663,629,229,89300000,2
992,-5220,516,737,2290000,2
1320,-10208,562,481,99500000,2
2900,-9592,706,354,47900000,2
654,-5144,698,774,8870000,2
565,-6606,479,905,76000,2
665,-3880,404,902,57700000,2
300,-5131,782,683,10500000,2
1860,-8806,699,475,94600000,2
772,-6486,329,893,182000,2
884,-4464,621,790,11500000,2
738,-2187,210,860,1210000,2
607,-13115,513,260,93500000,2
363,-9156,656,773,33500000,2
1260,-5801,465,751,27900000,2
289,-9907,404,398,20500000,2
1860,-11483,676,604,29900000,2
574,-12484,809,701,17600000,2
479,-8158,765,636,5630000,2
375,-6844,639,496,71300000,2
442,-8571,723,738,81000000,2
252,-6050,568,574,85800000,2
603,-12424,412,379,32700000,2
610,-8137,580,573,305000,2
596,-13885,489,586,3520000,2
326,-7874,632,933,23600000,2
395,-9428,636,495,4560000,2
391,-9925,559,644,19100000,2
552,-8136,374,542,69900000,2
417,-16397,701,137,99100000,2
281,-6825,674,318,98000000,2
540,-9105,448,605,8400000,2
301,-12227,395,421,11500000,2
382,-15958,723,354,55000000,2
306,-6285,548,640,21000000,2
556,-11141,769,250,71100000,2
348,-6268,294,611,2260000,2
318,-5134,492,736,376000,2
322,-8484,645,455,49000000,2
1950,-17093,561,195,96200000,2
498,-6761,560,705,77200000,2
500,-18260,720,142,94100000,2
356,-12671,413,298,92800000,2
343,-8746,545,448,51800000,2
402,-14248,533,417,60700000,2
375,-6702,807,585,56000000,2
293,-5839,499,395,52100000,2
415,-7213,481,894,602000,2
381,-7851,727,296,64200000,2
521,-2738,475,723,9170000,2
366,-8062,516,842,3040000,2
267,-8725,554,490,73600000,2
278,-6208,629,580,35700000,2
462,-12527,395,458,41900000,2
397,-9327,401,567,34600000,2
1180,-17819,529,216,97900000,2
804,-4631,400,814,28800000,2
346,-7568,644,433,74200000,2
627,-9123,358,682,536000,2
322,-5874,537,823,784000,2
495,-13496,559,201,96600000,2
701,-6088,432,862,13700000,2
373,-12166,737,310,26700000,2
606,-15580,599,161,98200000,2
407,-12445,586,332,71000000,2
459,-15476,591,416,43000000,2
287,-9647,484,475,632000,2
368,-12996,613,520,88900000,2
472,-5322,279,723,1340000,2
458,-6929,535,804,706000,2
387,-7304,516,550,31500000,2
459,-8145,301,813,9490000,2
385,-14546,436,482,6580000,2
442,-9331,601,410,50900000,2
324,-8626,645,740,22300000,2
325,-9478,679,728,7950000,2
335,-13637,677,503,61200000,2
684,-6091,606,679,7500000,2
743,-11225,345,744,2520000,2
631,-15154,621,274,69500000,2
402,-10166,777,292,33600000,2
356,-2673,486,945,24500000,2
696,-7333,406,858,28100000,2
354,-11337,473,281,97000000,2
409,-7509,491,891,656000,2
505,-8242,613,880,20200000,2
515,-10139,632,764,31400000,2
359,-11669,389,208,86100000,2
336,-7737,639,463,72100000,2
626,-16275,623,151,69700000,2
329,-6420,566,570,68800000,2
1300,-4454,543,946,963000,2
834,-7031,579,678,13400000,2
465,-5505,708,565,27300000,2
715,-5154,580,885,10000000,2
417,-10159,454,387,40600000,2
530,-10370,683,347,87100000,2
534,-11129,812,248,98600000,2
356,-10027,612,829,55000000,2
284,-8017,516,401,38800000,2
2220,-2694,494,969,17200000,2
874,-2892,574,882,18300000,2
263,-10107,627,282,18900000,2
335,-8924,491,338,77700000,2
1180,-6287,555,933,43700000,2
393,-9161,689,740,6660000,2
328,-5200,482,845,6120000,2
552,-8872,797,499,11900000,2
937,-11879,462,791,25700000,2
727,-7485,623,845,114000,2
1170,-6019,684,932,12300000,2
422,-6842,382,698,57600000,2
533,-10415,551,616,1790000,2
412,-5459,291,746,192000,2
751,-6935,433,814,3380,2
391,-7379,453,542,97500000,2
362,-5749,511,868,28800000,2
752,-9894,708,248,52200000,2
566,-9946,410,426,78500000,2
496,-3627,471,886,261000,2
456,-10785,635,184,66500000,2
623,-6296,612,584,78800000,2
399,-4706,591,864,4460000,2
775,-12736,495,707,34600000,2
420,-3996,480,641,6940000,2
629,-15418,803,288,86500000,2
430,-11871,598,262,79600000,2
486,-8533,495,710,27500000,2
328,-6685,456,834,22500000,2
4160,-10204,619,839,26500000,2
838,-14501,605,601,95900000,2
1140,-4103,431,892,7680000,2
325,-9495,710,281,46000000,2
470,-19793,572,183,88400000,2
436,-13497,496,141,98900000,2
1250,-11382,785,147,93800000,2
940,-5575,580,843,321000,2
349,-16269,450,347,17700000,2
367,-13179,727,270,84000000,2
338,-14961,472,479,41700000,2
607,-8986,515,500,64400000,2
455,-10569,664,384,48800000,2
723,-6873,250,804,9630000,2
454,-15263,647,204,96400000,2
846,-10517,583,717,44800000,2
751,-12584,523,568,65200000,2
671,-13961,517,381,71700000,2
528,-9235,882,476,45800000,2
317,-6986,591,420,1460000,2
485,-6993,698,609,74300000,2
448,-4654,586,907,35100000,2
341,-7051,786,474,47900000,2
1510,-7961,294,736,28200000,2
317,-9119,688,464,44800000,2
261,-7332,678,551,26600000,2
6580,-10795,454,682,95300000,2
671,-7994,576,570,66500000,2
1660,-4816,556,870,16200000,2
1010,-7305,577,916,44500000,2
1120,-4903,623,675,41400000,2
303,-4896,675,575,73600000,2
1400,-6587,371,891,20900000,2
844,-11315,635,559,33500000,2
285,-10571,739,355,17700000,2
525,-11959,675,311,93000000,2
550,-15774,533,162,99400000,2
395,-4038,492,596,97000000,2
406,-6300,629,748,9240000,2
962,-10862,563,542,70600000,2
463,-5513,601,861,1530000,2
377,-9880,537,695,393000,2
1610,-13662,502,472,59000000,2
558,-8794,482,719,1460000,2
957,-6225,677,608,23900000,2
427,-5604,594,757,11400000,2
629,-15418,803,288,86500000,2
643,-5843,648,758,2330000,2
369,-7143,383,511,16800000,2
358,-11633,659,549,58400000,2
641,-5133,599,906,1580000,2
3140,-7486,553,839,27200000,2
1630,-8197,433,700,84300000,2
994,-11738,601,487,28500000,2
2500,-10912,515,430,81000000,2
458,-8600,537,356,92700000,2
310,-16498,747,162,96400000,2
478,-12798,599,75.7,98700000,2
438,-6731,764,645,3340000,2
810,-9159,779,525,7010000,2
1010,-10653,903,365,16800000,2
609,-4091,553,828,11000000,2
310,-5582,619,779,75800,2
1250,-12060,760,323,98300000,2
286,-8534,535,816,4400000,2
437,-6812,374,849,2310000,2
351,-10298,831,460,54300000,2
565,-6606,479,905,76000,2
317,-9224,535,257,60800000,2
595,-7958,570,567,4580000,2
447,-14158,538,177,91000000,2
358,-12211,392,187,81200000,2
491,-7411,406,700,4250000,2
324,-4061,676,662,1480000,2
286,-8548,482,567,18900000,2
294,-6855,719,591,12200000,2
293,-13454,572,348,43800000,2
615,-10450,776,279,77200000,2
372,-14466,501,440,20200000,2
709,-9353,383,803,8610000,2
758,-5613,383,892,64300,2
377,-11329,504,500,11700000,2
348,-14278,439,326,44800000,2
298,-13250,720,480,15100000,2
662,-7675,799,762,2750000,2
293,-13454,572,348,43800000,2
392,-6949,738,728,39300000,2
370,-5608,520,824,15500000,2
3690,-7644,569,566,12200000,2
605,-8007,682,506,5570000,2
338,-6497,513,689,2610000,2
576,-5377,684,792,50800000,2
341,-5854,437,820,7900000,2
456,-489,408,980,80700000,2
278,-7679,719,665,11800000,2
2740,-4910,301,972,674000,2
1120,-9291,541,674,76100000,2
368,-7004,567,793,32400000,2
394,-10468,702,206,83500000,2
708,-4167,555,927,155000,2
261,-6978,491,684,10300,2
310,-11063,624,368,5010000,2
280,-6826,559,598,35500000,2
407,-15870,425,203,67300000,2
960,-15720,628,156,99500000,2
356,-6531,559,470,56400000,2
639,-10176,388,657,4720000,2
329,-13577,656,396,81700000,2
412,-5459,291,746,192000,2
2140,-6491,357,766,1040000,2
1950,-17093,561,195,96200000,2
405,-10893,504,553,66000000,2
411,-16004,406,136,72200000,2
278,-7600,649,448,78500000,2
360,-16292,540,86,75800000,2
1650,-6623,616,728,20000000,2
292,-5994,574,756,9650000,2
354,-19213,516,157,87600000,2
424,-6716,535,665,34300000,2
443,-3548,644,884,5260000,2
1990,-4585,342,976,14800000,2
481,-13945,632,736,32200000,2
889,-14141,656,551,17100000,2
973,-10882,598,735,44000000,2
273,-13349,596,140,85100000,2
777,-10863,655,291,40900000,2
399,-9577,432,449,1510000,2
350,-18543,472,230,47200000,2
461,-17458,701,292,97800000,2
1550,-4975,328,967,6870000,2
349,-8119,538,381,79700000,2
282,-8662,616,616,104000,2
426,-4572,543,696,60100000,2
848,-6044,611,688,402000,2
373,-7940,472,747,7750000,2
371,-12269,653,44.2,99300000,2
713,-8209,417,872,1220000,2
610,-8137,580,573,305000,2
343,-11802,558,322,75400000,2
850,-12980,657,642,92600000,2
1140,-11867,660,611,23100000,2
355,-3760,437,808,28800000,2
404,-9199,495,472,13800000,2
386,-6018,155,733,1230000,2
657,-10512,670,357,86100000,2
385,-3504,354,689,16000000,2
410,-6203,516,793,34500,2
4020,-8126,653,711,14300000,2
552,-8136,374,542,69900000,2
797,-8003,682,512,28000000,2
346,-4683,615,782,12700000,2
260,-10643,473,461,38100000,2
545,-5373,598,853,13200000,2
913,-8904,561,836,18400000,2
421,-12789,569,249,96000000,2
625,-20880,620,82.7,36800000,2
305,-13498,515,325,76300000,2
462,-7383,724,464,8980000,2
299,-10429,589,372,49600000,2
402,-7788,762,469,68600000,2
284,-5480,380,539,50500000,2
928,-12142,658,121,96600000,2
3610,-7498,728,764,37000000,2
621,-8197,357,658,780000,2
463,-10147,548,874,27900000,2
518,-9503,610,414,67400000,2
411,-9103,770,748,34500000,2
525,-11959,675,311,93000000,2
317,-7258,367,769,32000,2
371,-12964,614,522,89100000,2
374,-16925,593,464,50900000,2
552,-6402,702,633,9210000,2
298,-11211,711,483,43400000,2
2240,-9937,545,640,249000,2
309,-7303,430,852,680000,2
506,-9383,621,400,36700000,2
263,-6109,538,563,50100000,2
325,-6541,686,493,52900000,2
310,-8363,344,560,22200000,2
564,-6945,894,507,22100000,2
406,-3092,584,810,1880000,2
603,-4507,443,760,2950000,2
940,-8536,626,582,16700000,2
308,-9415,666,669,23200000,2
788,-18022,538,81.4,98900000,2
532,-12982,858,160,80000000,2
962,-10862,563,542,70600000,2
404,-8282,547,486,9410000,2
295,-7179,532,473,64700000,2
452,-12504,889,361,3100000,2
733,-12576,469,297,90800000,2
875,-6656,649,710,42400000,2
389,-6660,608,849,371000,2
479,-5576,442,780,700000,2
1430,-5841,260,929,34300000,2
531,-7711,409,849,10200000,2
659,-6668,491,878,25300000,2
928,-10566,583,940,63300000,2
322,-10731,433,242,35300000,2
292,-5629,520,459,31600000,2
327,-11949,555,393,96500000,2
312,-14711,515,308,90700000,2
253,-10105,532,548,9910000,2
298,-17183,566,251,75200000,2
491,-6924,805,737,54400000,2
428,-6975,684,801,64200000,2
609,-4091,553,828,11000000,2
302,-5574,658,569,19500000,2
1210,-9047,726,385,51600000,2
273,-3994,730,679,209000,2
577,-6564,430,844,8000000,2
865,-6532,486,771,11000000,2
386,-8790,739,669,2740000,2
352,-6453,727,665,65300000,2
493,-10908,717,245,66500000,2
363,-9156,656,773,33500000,2
412,-6246,597,702,15600000,2
1600,-5502,749,677,12100000,2
307,-7442,718,676,21900000,2
324,-6742,862,707,9470000,2
393,-9457,635,454,41700000,2
1150,-9241,680,604,38600000,2
344,-9047,670,554,1560000,2
558,-5762,583,532,21200000,2
436,-8551,369,537,81100000,2
403,-7294,753,390,37100000,2
275,-9147,690,494,40700000,2
264,-5158,728,652,51800000,2
895,-4872,573,946,18200000,2
448,-7950,473,766,141000,2
1660,-4816,556,870,16200000,2
298,-11211,711,483,43400000,2
2290,-4692,442,749,56200000,2
1210,-5687,736,709,67100000,2
459,-9245,462,877,14700000,2
345,-9083,345,638,3460000,2
6580,-10795,454,682,95300000,2
2090,-6641,404,727,17600000,2
404,-19432,520,216,78700000,2
391,-5257,436,801,68800,2
432,-5839,182,733,1950000,2
312,-18566,584,278,55000000,2
386,-7197,372,474,10700000,2
613,-9401,719,386,71600000,2
408,-19207,815,106,75300000,2
666,-6820,613,793,3190000,2
464,-4939,410,823,1170000,2
733,-12576,469,297,90800000,2
364,-16981,469,236,40700000,2
403,-17278,499,132,85200000,2
1080,-8446,572,634,33200000,2
479,-11154,791,213,77300000,2
423,-3855,581,950,238000,2
1630,-8197,433,700,84300000,2
305,-8139,720,412,42100000,2
462,-6825,751,732,61200000,2
574,-2349,638,957,5010000,2
440,-12194,538,745,2890000,2
1180,-10761,589,337,59800000,2
377,-10104,454,506,41900000,2
463,-10362,248,349,88500000,2
597,-13615,392,801,8480000,2
336,-5628,589,679,2530000,2
784,-15964,382,330,38500000,2
320,-7058,707,611,47300000,2
439,-7111,643,619,13100000,2
606,-2967,506,921,1900000,2
795,-7983,695,643,12500000,2
774,-8288,599,548,8120000,2
280,-7887,619,624,1130000,2
348,-6268,294,611,2260000,2
389,-15929,509,530,14000000,2
499,-11479,634,241,98700000,2
401,-2879,524,752,10000000,2
609,-6358,586,800,4700000,2
313,-6187,743,619,12800000,2
432,-11377,654,563,8130000,2
2000,-13657,490,338,47200000,2
275,-9875,597,283,90400000,2
1150,-9011,496,653,43400000,2
467,-10286,550,602,68900000,2
305,-11066,393,315,93900000,2
499,-11582,595,525,30000000,2
336,-7805,574,691,1420000,2
381,-6439,775,554,8540000,2
339,-6848,417,608,21300000,2
612,-13965,440,184,86300000,2
417,-15723,561,241,89400000,2
2090,-6641,404,727,17600000,2
657,-8465,848,651,8490000,2
374,-16925,593,464,50900000,2
472,-5322,279,723,1340000,2
392,-8403,623,623,84800000,2
2770,-14734,642,599,1460000,2
636,-9363,562,447,63300000,2
399,-14733,787,255,77700000,2
473,-12138,570,241,94800000,2
586,-16499,575,188,87500000,2
1290,-7491,450,561,82400000,2
357,-4995,376,509,48900000,2
449,-11239,404,612,733000,2
448,-6535,759,852,77400000,2
455,-10513,632,554,53500000,2
702,-17232,730,102,89500000,2
572,-13011,728,193,78600000,2
505,-8996,581,354,73800000,2
561,-5868,167,924,1100000,2
464,-4952,664,928,1650000,2
688,-5162,716,644,68200000,2
275,-7497,502,504,10200000,2
305,-13498,515,325,76300000,2
419,-6350,777,594,10700000,2
471,-8823,345,861,42500000,2
411,-13947,544,340,78500000,2
432,-13499,637,371,56400000,2
430,-9617,745,436,59700000,2
527,-13659,541,283,80500000,2
603,-6188,749,857,7090000,2
287,-7139,644,617,20300,2
353,-8050,610,547,9110000,2
334,-7441,502,383,57300000,2
260,-7809,780,675,37600000,2
1090,-6355,378,799,4080000,2
1290,-6802,826,679,30700000,2
576,-12841,514,726,5950000,2
545,-19991,697,134,86200000,2
559,-12499,569,394,94000000,2
406,-15223,485,166,97100000,2
507,-9134,572,552,51200000,2
379,-6083,604,818,335000,2
278,-5020,511,686,1700000,2
653,-9453,785,430,31600000,2
1120,-9291,541,674,76100000,2
1370,-5695,471,957,498000,2
307,-6775,600,489,13000000,2
445,-13401,629,733,25900000,2
280,-7761,617,593,38500000,2
316,-3374,737,929,5620000,2
297,-8120,490,317,81600000,2
466,-2479,330,826,1230000,2
372,-11627,603,265,80600000,2
1630,-8197,433,700,84300000,2
1400,-12105,441,598,67500000,2
294,-6456,676,648,703000,2
1020,-13328,621,519,83700000,2
1100,-3896,676,944,23800000,2
634,-6883,671,771,42300000,2
385,-11821,427,626,2740000,2
1750,-15305,556,64.3,92700000,2
358,-6800,452,699,70500000,2
753,-16251,639,380,42600000,2
348,-8081,675,308,82400000,2
341,-4652,599,681,11800000,2
600,-4365,431,840,5070000,2
356,-8018,785,363,63500000,2
719,-5304,552,958,397000,2
266,-6042,572,735,183000,2
1790,-8963,648,544,34300000,2
385,-15546,626,503,30600000,2
1610,-6958,568,632,2450000,2
507,-6869,633,862,4430000,2
431,-6522,431,852,56400000,2
308,-13502,379,363,82300000,2
3930,-8105,668,916,87600000,2
346,-2939,380,843,2790000,2
363,-12956,703,268,27600000,2
515,-15719,810,233,98100000,2
443,-9554,493,627,73000000,2
363,-6322,674,611,4150000,2
3110,-12964,717,334,18700000,2
375,-6844,639,496,71300000,2
905,-6271,315,794,2950000,2
809,-1867,92.2,937,6290,2
739,-8610,722,454,80600000,2
962,-10862,563,542,70600000,2
361,-8130,692,623,15000000,2
372,-5343,522,811,2630000,2
2240,-9937,545,640,249000,2
382,-9420,661,525,36900000,2
379,-8741,440,466,55300000,2
534,-6946,679,367,85700000,2
658,-4503,739,790,56700000,2
1270,-6913,762,571,11800000,2
430,-16361,661,342,84400000,2
591,-6813,440,757,28900000,2
2460,-5416,299,936,21000000,2
303,-13312,498,625,2390000,2
422,-5806,604,743,46800000,2
956,-6407,626,689,1560000,2
307,-7540,376,472,4170000,2
503,-20543,611,78.5,96400000,2
379,-8741,440,466,55300000,2
349,-4624,716,667,12700000,2
362,-12438,535,432,84300000,2
1900,-3984,311,775,40400000,2
610,-3838,562,912,2580000,2
363,-8581,551,580,49300000,2
1270,-9223,584,635,21900000,2
515,-4995,562,973,8690,2
568,-6857,636,668,74900000,2
833,-19952,629,19.2,98900000,2
253,-10647,472,406,47600000,2
567,-13898,712,237,87800000,2
389,-6660,608,849,371000,2
442,-16024,792,142,98500000,2
392,-4495,460,858,23300,2
483,-9568,459,670,83600000,2
505,-8077,726,462,3440000,2
353,-6375,936,583,52300000,2
376,-4640,306,745,29500,2
390,-5408,290,756,1140000,2
295,-7179,532,473,64700000,2
327,-11949,555,393,96500000,2
1350,-5182,612,857,846000,2
346,-4552,527,896,772000,2
292,-8378,596,384,74900000,2
1060,-19053,419,200,86800000,2
746,-3417,588,788,37300000,2
473,-12138,570,241,94800000,2
391,-6826,620,439,91600000,2
